Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p25,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05_cap_recent_x1p25_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x0p85,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x0p85_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p0,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p0_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p25,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p25_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
ml_cold_start_raw_future_guardrail_min_5p0_units,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
ml_cold_start_raw_blended_guardrail_min_5p0_units,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x0p85,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x0p85_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p0,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p0_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p25,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p25_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x0p85,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x0p85_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p0,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p0_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p25,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p25_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
ml_cold_start_raw_future_guardrail_min_10p0_units,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
ml_cold_start_raw_blended_guardrail_min_10p0_units,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x0p85,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x0p85_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p0,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p0_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p25,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p25_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_blended,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,53298.0,0.0,53298.0,,53298.0,,0.0,,0.0,0.0,,6.0,53298.0,0.0,0.0
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x0p85,10b25b52de95abe5e0a0afcc678d0da302ae019c0c5a2107bc742b53bf28944b,2025-12-09_a5e2936c1b3e_2025-12-09_a5e2936c1b3e_Fwd_Demand_CSV_12925.csv,2025-12-09,2025-12-22,6.0,0.0,6.0,798.074615007479,0.0,798.074615007479,,798.074615007479,,0.0,,0.0,0.0,,6.0,798.074615007479,0.0,0.0
